Epoch(UTCG),Lat_GEOD(deg),Lon_GEOD(deg),Height_WGS84 (km),B_Tesla,Bx_Tesla,By_Tesla,Bz_Tesla
Jan 01 2015 01:02:53.000000000,79.93097627,47.33943566,191.1919544,5.1973265588989784e-05,2.3955004206249574e-06,4.652379547517369e-06,-5.170916048694175e-05
Jan 01 2015 01:02:54.000000000,79.86093775,47.45914147,191.6228116,5.196620787850553e-05,2.4054428891446587e-06,4.669617543944113e-06,-5.17000510422611e-05
Jan 01 2015 01:02:55.000000000,79.79086237,47.57714905,192.0551955,5.19591188245807e-05,2.4152837283143033e-06,4.686951278784452e-06,-5.169089785686584e-05
Jan 01 2015 01:02:56.000000000,79.72075112,47.69349232,192.48910519999998,5.1951997972291426e-05,2.425024286183728e-06,4.704380231037673e-06,-5.168170040900564e-05
Jan 01 2015 01:02:57.000000000,79.65060495,47.80820435,192.92453989999998,5.194484486553021e-05,2.4346658745713604e-06,4.7219038881841375e-06,-5.167245817506604e-05
Jan 01 2015 01:02:58.000000000,79.5804248,47.92131736,193.3614986,5.193765905351162e-05,2.4442097671359155e-06,4.739521737725953e-06,-5.166317063702806e-05
Jan 01 2015 01:02:59.000000000,79.51021157,48.03286276,193.7999806,5.1930440079459296e-05,2.453657203104176e-06,4.7572332766650665e-06,-5.165383727011341e-05
Jan 01 2015 01:03:00.000000000,79.43996616,48.14287116,194.23998490000002,5.1923187494413825e-05,2.463009385264699e-06,4.775037999092162e-06,-5.1644457557954615e-05
Jan 01 2015 01:03:01.000000000,79.36968942,48.25137239,194.6815106,5.191590084660743e-05,2.4722674856295764e-06,4.792935414113386e-06,-5.163503098004697e-05
Jan 01 2015 01:03:02.000000000,79.29938220000001,48.35839557,195.12455690000002,5.1908579685296155e-05,2.481432642154003e-06,4.810925025114158e-06,-5.162555701772063e-05
Jan 01 2015 01:03:03.000000000,79.22904532,48.46396908,195.5691229,5.190122356177377e-05,2.4905059624676705e-06,4.8290063442992e-06,-5.161603515368894e-05
Jan 01 2015 01:03:04.000000000,79.15867957,48.56812058,196.0152077,5.189383202712787e-05,2.4994885246564186e-06,4.8471788928577615e-06,-5.160646486977681e-05
Jan 01 2015 01:03:05.000000000,79.08828575,48.67087708,196.4628105,5.188640463363571e-05,2.508381374825938e-06,4.865442183449767e-06,-5.15968456501297e-05
Jan 01 2015 01:03:06.000000000,79.0178646,48.77226492,196.9119302,5.1878940939299296e-05,2.5171855358993745e-06,4.883795748693646e-06,-5.158717698271738e-05
Jan 01 2015 01:03:07.000000000,78.94741688,48.87230979,197.36256609999998,5.1871440495385134e-05,2.525901997986634e-06,4.902239111448253e-06,-5.157745835010713e-05
Jan 01 2015 01:03:08.000000000,78.87694331,48.97103677,197.8147171,5.186390286273851e-05,2.53453172852483e-06,4.9207718063470285e-06,-5.156768924338706e-05
Jan 01 2015 01:03:09.000000000,78.80644459,49.06847033,198.2683826,5.185632759213181e-05,2.543075668131776e-06,4.939393372625102e-06,-5.155786914331424e-05
Jan 01 2015 01:03:10.000000000,78.73592143,49.16463436,198.7235614,5.1848714249678135e-05,2.5515347315486905e-06,4.9581033440852525e-06,-5.1547997546828615e-05
Jan 01 2015 01:03:11.000000000,78.66537449,49.25955217,199.1802528,5.1841062390247876e-05,2.55990981154589e-06,4.9769012704896e-06,-5.1538073938110294e-05
Jan 01 2015 01:03:12.000000000,78.59480443,49.35324654,199.63845569999998,5.183337158022431e-05,2.5682017775765485e-06,4.995786698633846e-06,-5.152809781337761e-05
Jan 01 2015 01:03:13.000000000,78.52421190000001,49.44573968,200.09816940000002,5.1825641377167e-05,2.576411474227507e-06,5.014759178550963e-06,-5.1518068659950084e-05
Jan 01 2015 01:03:14.000000000,78.45359752,49.53705331,200.5593929,5.1817871347484646e-05,2.5845397274328324e-06,5.033818267630063e-06,-5.1507985973344616e-05
Jan 01 2015 01:03:15.000000000,78.38296191,49.62720862,201.0221253,5.1810061056077376e-05,2.592587339743639e-06,5.0529635228082644e-06,-5.14978492478806e-05
Jan 01 2015 01:03:16.000000000,78.31230567,49.71622632,201.4863656,5.180221007179139e-05,2.6005550944769487e-06,5.07219450585643e-06,-5.148765798147509e-05
Jan 01 2015 01:03:17.000000000,78.24162939,49.80412664,201.952113,5.17943179605646e-05,2.608443754220915e-06,5.091510780292432e-06,-5.1477411669151515e-05
Jan 01 2015 01:03:18.000000000,78.17093364,49.89092934,202.4193665,5.1786384293647375e-05,2.6162540635666055e-06,5.11091191586111e-06,-5.146710981075688e-05
Jan 01 2015 01:03:19.000000000,78.10021897,49.97665373,202.8881251,5.177840864363265e-05,2.623986749329036e-06,5.130397487861735e-06,-5.145675190704229e-05
Jan 01 2015 01:03:20.000000000,78.02948595,50.06131868,203.3583881,5.177039057903227e-05,2.6316425161850386e-06,5.1499670623506665e-06,-5.144633745592843e-05
Jan 01 2015 01:03:21.000000000,77.95873509999998,50.14494263,203.8301544,5.176232967727728e-05,2.6392220563407127e-06,5.169620222838696e-06,-5.143586596245934e-05
Jan 01 2015 01:03:22.000000000,77.88796695,50.22754362,204.3034231,5.175422551445285e-05,2.6467260426703976e-06,5.189356546400058e-06,-5.1425336931227076e-05
Jan 01 2015 01:03:23.000000000,77.81718201,50.30913925,204.77819319999998,5.174607766827342e-05,2.654155132127093e-06,5.209175618483661e-06,-5.1414749867731385e-05
Jan 01 2015 01:03:24.000000000,77.74638078,50.38974677,205.2544639,5.173788571597599e-05,2.661509966021681e-06,5.229077023640155e-06,-5.140410427719753e-05
Jan 01 2015 01:03:25.000000000,77.67556375,50.46938301,205.7322342,5.172964923882761e-05,2.6687911700387934e-06,5.249060351470257e-06,-5.1393399668532184e-05
Jan 01 2015 01:03:26.000000000,77.6047314,50.54806445,206.2115031,5.172136782091662e-05,2.675999355380089e-06,5.269125192408343e-06,-5.138263555349495e-05
Jan 01 2015 01:03:27.000000000,77.53388421,50.62580721,206.69226980000002,5.171304104407514e-05,2.6831351172980226e-06,5.289271135113487e-06,-5.137181144195498e-05
Jan 01 2015 01:03:28.000000000,77.46302263,50.70262703,207.17453319999998,5.170466849629074e-05,2.690199039361021e-06,5.3094977802161405e-06,-5.136092684874194e-05
Jan 01 2015 01:03:29.000000000,77.39214712,50.77853933,207.65829240000002,5.1696249764723824e-05,2.6971916895442348e-06,5.329804721549657e-06,-5.1349981288766884e-05
Jan 01 2015 01:03:30.000000000,77.32125811,50.85355919,208.1435465,5.168778443736364e-05,2.7041136245829755e-06,5.3501915631122395e-06,-5.133897427672974e-05
Jan 01 2015 01:03:31.000000000,77.25035603,50.92770138,208.63029440000003,5.16792721094208e-05,2.710965388427338e-06,5.3706579069158456e-06,-5.132790533490715e-05
Jan 01 2015 01:03:32.000000000,77.17944131,51.00098031,209.11853530000002,5.167071236922851e-05,2.7177475101617867e-06,5.391203356211678e-06,-5.131677397875402e-05
Jan 01 2015 01:03:33.000000000,77.10851437,51.07341013,209.60826819999997,5.1662104813915876e-05,2.7244605085153952e-06,5.411827513728749e-06,-5.1305579732649145e-05
Jan 01 2015 01:03:34.000000000,77.0375756,51.14500466,210.09949210000002,5.165344904019248e-05,2.731104892111985e-06,5.432529994069784e-06,-5.12943221193104e-05
Jan 01 2015 01:03:35.000000000,76.96662541,51.21577743,210.59220609999997,5.1644744645380265e-05,2.737681155397184e-06,5.453310402915619e-06,-5.128300066325457e-05
Jan 01 2015 01:03:36.000000000,76.89566419,51.2857417,211.08640919999996,5.163599123136735e-05,2.744189783609626e-06,5.474168351270531e-06,-5.127161489303147e-05
Jan 01 2015 01:03:37.000000000,76.82469231,51.35491043,211.5821003,5.162718840250503e-05,2.750631252428258e-06,5.495103458031046e-06,-5.1260164338855276e-05
Jan 01 2015 01:03:38.000000000,76.75371015,51.42329633,212.0792787,5.161833575803126e-05,2.7570060248369646e-06,5.516115335218332e-06,-5.124864852673123e-05
Jan 01 2015 01:03:39.000000000,76.68271808,51.49091184,212.5779432,5.1609432909581264e-05,2.7633145554355103e-06,5.537203598541563e-06,-5.123706699475084e-05
Jan 01 2015 01:03:40.000000000,76.61171646,51.55776913,213.0780929,5.160047946338439e-05,2.769557288346e-06,5.558367866699429e-06,-5.1225419275357487e-05
Jan 01 2015 01:03:41.000000000,76.54070564,51.62388013,213.5797268,5.159147503035585e-05,2.7757346590723396e-06,5.579607760379708e-06,-5.121370490552863e-05
Jan 01 2015 01:03:42.000000000,76.46968596,51.68925653,214.08284390000003,5.1582419223580155e-05,2.7818470943884046e-06,5.600922902553154e-06,-5.120192342422567e-05
Jan 01 2015 01:03:43.000000000,76.39865777,51.75390977,214.58744339999998,5.1573311653569714e-05,2.7878950099644893e-06,5.622312911805409e-06,-5.119007436848858e-05
Jan 01 2015 01:03:44.000000000,76.3276214,51.81785106,215.09352400000003,5.1564151943515654e-05,2.7938788156426273e-06,5.643777413631165e-06,-5.117815728729258e-05
Jan 01 2015 01:03:45.000000000,76.25657716,51.8810914,215.601085,5.155493970621244e-05,2.799798912725087e-06,5.6653160378514285e-06,-5.1166171718731964e-05
Jan 01 2015 01:03:46.000000000,76.1855254,51.94364155,216.1101252,5.1545674567565654e-05,2.8056556914793457e-06,5.686928400195623e-06,-5.1154117215892834e-05
Jan 01 2015 01:03:47.000000000,76.11446641,52.00551205,216.6206437,5.153635614724364e-05,2.8114495382441825e-06,5.708614137617193e-06,-5.114199332307297e-05
Jan 01 2015 01:03:48.000000000,76.04340051,52.06671325,217.1326395,5.152698407144455e-05,2.8171808292232903e-06,5.73037287343187e-06,-5.112979959285772e-05
Jan 01 2015 01:03:49.000000000,75.97232799,52.12725528,217.6461117,5.151755796472372e-05,2.822849934878894e-06,5.7522042419720035e-06,-5.111753557491267e-05
